file,set,author,author_url,source,licence,seconds,bytes
defeated/6563972.mp4,defeated,Mikhail Nilov,https://www.pexels.com/@mikhail-nilov,https://www.pexels.com/video/woman-sitting-by-the-glass-window-holding-a-disposable-coffee-cup-6563972/,Pexels,14,4528965
defeated/6615306.mp4,defeated,Tima Miroshnichenko,https://www.pexels.com/@tima-miroshnichenko,https://www.pexels.com/video/a-man-resting-on-his-desk-6615306/,Pexels,19,5337114
defeated/6787448.mp4,defeated,Artem Podrez,https://www.pexels.com/@artempodrez,https://www.pexels.com/video/a-person-lying-down-on-a-sofa-6787448/,Pexels,15,3250139
defeated/12910156.mp4,defeated,Mizuno K,https://www.pexels.com/@mizunokozuki,https://www.pexels.com/video/tired-woman-sitting-12910156/,Pexels,10,4079132
defeated/8627839.mp4,defeated,Pavel Danilyuk,https://www.pexels.com/@pavel-danilyuk,https://www.pexels.com/video/a-woman-looking-up-8627839/,Pexels,12,7363594
defeated/8558463.mp4,defeated,Timur Weber,https://www.pexels.com/@timur-weber,https://www.pexels.com/video/man-looking-down-while-sitting-on-a-carpet-8558463/,Pexels,10,3212092
defeated/36507913.mp4,defeated,Antoine Maupas,https://www.pexels.com/@antoine-maupas-2160108854,https://www.pexels.com/video/close-up-of-eye-with-phone-reflection-36507913/,Pexels,12,5726218
defeated/7274866.mp4,defeated,https://kaboompics.com/,https://www.pexels.com/@karola-g,https://www.pexels.com/video/woman-who-looks-sad-sitting-on-the-floor-7274866/,Pexels,19,5724322
defeated/8539670.mp4,defeated,MART  PRODUCTION,https://www.pexels.com/@mart-production,https://www.pexels.com/video/tired-woman-sitting-on-bed-8539670/,Pexels,13,3931843
kitchen/7246504.mp4,kitchen,Sarah  Chai,https://www.pexels.com/@sarah-chai,https://www.pexels.com/video/person-putting-sliced-tomatoes-into-a-glass-bowl-7246504/,Pexels,15,7023764
kitchen/12691875.mp4,kitchen,Anna Shvets,https://www.pexels.com/@shvetsa,https://www.pexels.com/video/a-person-cooking-spaghetti-in-a-saucepan-12691875/,Pexels,9,2379259
kitchen/39389797.mp4,kitchen,Николай Викторович Ульяненко,https://www.pexels.com/@285180844,https://www.pexels.com/video/boy-eating-meal-with-juice-at-home-table-39389797/,Pexels,14,13732874
kitchen/8051333.mp4,kitchen,Annushka  Ahuja,https://www.pexels.com/@annushka-ahuja,https://www.pexels.com/video/video-of-getting-ground-meat-in-the-bowl-using-spoon-8051333/,Pexels,10,4326218
kitchen/5418706.mp4,kitchen,Polina Tankilevitch,https://www.pexels.com/@polina-tankilevitch,https://www.pexels.com/video/a-woman-getting-food-from-a-refrigerator-5418706/,Pexels,5,2925889
kitchen/12908876.mp4,kitchen,Mizuno K,https://www.pexels.com/@mizunokozuki,https://www.pexels.com/video/woman-cooking-on-pan-12908876/,Pexels,10,5434247
kitchen/9473234.mp4,kitchen,Liliana Drew,https://www.pexels.com/@liliana-drew,https://www.pexels.com/video/a-person-washing-a-stainless-steel-sink-9473234/,Pexels,10,6320597
kitchen/9015743.mp4,kitchen,Kevin  Malik,https://www.pexels.com/@kevin-malik,https://www.pexels.com/video/woman-serving-food-on-the-table-9015743/,Pexels,10,3076948
kitchen/9015584.mp4,kitchen,Kevin  Malik,https://www.pexels.com/@kevin-malik,https://www.pexels.com/video/a-woman-placing-produce-on-a-counter-top-9015584/,Pexels,10,6509820
phone/6611951.mp4,phone,Tima Miroshnichenko,https://www.pexels.com/@tima-miroshnichenko,https://www.pexels.com/video/high-angle-shot-of-a-person-using-a-smartphone-6611951/,Pexels,14,1086872
phone/7942761.mp4,phone,VAZHNIK,https://www.pexels.com/@vazhnik,https://www.pexels.com/video/man-using-a-smartphone-in-the-dark-7942761/,Pexels,12,5443761
